stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type
4878,150303,-7.784683334139052,-34.90269444440901,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150303,0
4879,150304,-7.791836111918997,-34.906216666630826,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150304,0
4880,150305,-7.792016667474621,-34.90642222218634,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150305,0
4881,150306,-7.7975277785873915,-34.9069583332974,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150306,0
4882,150307,-7.797872223031946,-34.906899999964075,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150307,0
4883,150308,-7.8050944452563575,-34.90959166663045,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150308,0
4884,150310,-7.810044445257874,-34.90810555551951,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150310,0
4889,150311,-7.81027222466257,-34.9079527777422,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150311,0
4890,150315,-7.772908334135509,-34.89632777774308,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150315,0
4891,150316,-7.7728583341354955,-34.896769444409706,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150316,0
4896,150321,-7.771338889690572,-34.90098888885364,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150321,0
4898,Terminal Da Linha 1969 Ti Igarassu / Itapissuma - 150323,-7.771441667468382,-34.90325833329781,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150323,0
4899,150324,-7.7723833341353465,-34.90099166663142,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150324,0
4900,150325,-7.77260000080207,-34.90025277774261,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150325,0
4901,150326,-7.773088889691108,-34.89891111107611,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150326,0
4903,150328,-7.868594445275848,-34.90764444440858,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150328,0
4904,150584,-7.870127778609653,-34.908841666630664,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150584,0
4905,150585,-7.871883334165743,-34.909902777741635,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150585,0
4906,150586,-7.8730527786105515,-34.91138333329702,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150586,0
4907,150587,-7.874244445277541,-34.912605555519086,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150587,0
4909,150589,-7.8775638897230715,-34.91264999996354,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150589,0
4910,150590,-7.8792305563902465,-34.91206944440806,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150590,0
4911,150591,-7.878808334167875,-34.90981944440834,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150591,0
4912,150337,-7.879486111945887,-34.90839999996407,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150337,0
4913,150338,-7.880800000835175,-34.907183333297546,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150338,0
4914,150339,-7.882202778613389,-34.90686111107537,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150339,0
4915,150340,-7.883369445280415,-34.90633055551989,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150340,0
4916,150341,-7.92787222307206,-34.92157499996253,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150341,0
4917,150342,-7.924813889737746,-34.92848055551719,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150342,0
4918,150343,-7.9250388931332605,-34.928183333295024,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150343,0
4919,150344,-7.926277780325613,-34.92759166662951,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150344,0
4920,150345,-7.92630000084933,-34.927316666628464,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150345,0
4921,150346,-7.927061111960687,-34.92635277773971,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150346,0
4922,150347,-7.927230556405178,-34.9260083332953,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150347,0
4923,150348,-7.928858334183473,-34.921863888851384,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150348,0
4924,150349,-7.929636111961493,-34.91933055551838,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150349,0
4925,150350,-7.929319445294728,-34.91979166662942,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150350,0
4926,150351,-7.930783334184089,-34.91707777774088,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150351,0
4927,150352,-7.931041667517468,-34.91688611107424,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150352,0
4928,150353,-7.933505556407167,-34.912511111074785,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150353,0
4929,150354,-7.933288889740427,-34.912622222185874,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150354,0
4930,150355,-7.935388889741099,-34.91023055551951,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150355,0
4931,150356,-7.935283334185505,-34.910016666630646,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150356,0
4932,150357,-7.935527778630035,-34.908008333297566,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150357,0
4933,150358,-7.93579722307456,-34.90755277774205,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150358,0
4934,150359,-7.933577778629422,-34.90516388885345,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150359,0
4935,150360,-7.933322223073788,-34.904999999964595,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150360,0
4936,150361,-7.9307500008507565,-34.90393055552026,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150361,0
4937,150362,-7.930736111961879,-34.90372777774251,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150362,0
4938,150363,-7.929027778628013,-34.900627777742876,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150363,0
4939,150364,-7.928861111961299,-34.89981388885408,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150364,0
4941,150388,-7.92695555640515,-34.900052777742935,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150388,0
4943,150390,-7.925241667515719,-34.900724999965085,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150390,0
4944,150391,-7.923647223070732,-34.90181388885384,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150391,0
4945,150392,-7.923475000848482,-34.90203888885381,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150392,0
4946,150393,-7.923769445293019,-34.90450277774241,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150393,0
4947,150394,-7.923563889737392,-34.90496388885346,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150394,0
4948,150395,-7.922250000848102,-34.907374999964276,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150395,0
4949,150396,-7.921741667514593,-34.908102777741966,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150396,0
4950,150397,-7.920608334180909,-34.90832222218638,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150397,0
4951,150398,-7.922050000848029,-34.90944444440847,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150398,0
4952,150399,-7.92195833418136,-34.90917777774184,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150399,0
4953,150400,-7.923033334181662,-34.912580555519206,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150400,0
4954,150401,-7.9228694452927275,-34.91274999996362,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150401,0
4955,150402,-7.922030556403572,-34.915413888852186,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150402,0
4956,150403,-7.921877778625738,-34.915977777741006,https://virtual.granderecife.pe.gov.br/rumo/paradas/?codigo-parada=150403,0
