route_id,agency_id,route_short_name,route_long_name,route_type,route_url
520,grctm,520,Ti Macaxeira / Parnamirim,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=520
521,grctm,521,Alto Santa Isabel (Cde. Boa Vista),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=521
522,grctm,522,Dois Irmãos (Rui Barbosa E Príncipe),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=522
523,grctm,523,Dois Irmãos (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=523
524,grctm,524,Sítio Dos Pintos (Dois Irmãos),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=524
532,grctm,532,Dois Irmãos / Casa Amarela (Cruz Cabugá),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=532
533,grctm,533,Casa Amarela (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=533
601,grctm,601,Ti Macaxeira / P.R. Bola Na Rede,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=601
604,grctm,604,Ti Macaxeira / Alto Do Burity,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=604
611,grctm,611,Alto José Do Pinho (Cais De Santa Rita),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=611
612,grctm,612,Morro Da Conceição (Cruz Cabugá),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=612
613,grctm,613,Morro Da Conceição (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=613
621,grctm,621,Alto Treze De Maio (Príncipe),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=621
622,grctm,622,Vasco Da Gama (Cruz Cabugá),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=622
623,grctm,623,Vasco Da Gama (João De Barros),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=623
624,grctm,624,Brejo (Cde. Boa Vista),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=624
626,grctm,626,Brejo (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=626
630,grctm,630,Vasco Da Gama / Derby,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=630
631,grctm,631,Nova Descoberta (Cabugá),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=631
632,grctm,632,Alto Do Refúgio (Cabugá),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=632
640,grctm,640,Guabiraba / Derby (Joana Bezerra),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=640
641,grctm,641,Ti Macaxeira / Encruzilhada,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=641
642,grctm,642,Guabiraba (Córrego Do Jenipapo),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=642
643,grctm,643,Córrego Do Jenipapo (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=643
644,grctm,644,Largo Do Maracanã (Conde Da Boa Vista),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=644
645,grctm,645,Ti Macaxeira (Av. Norte),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=645
680,grctm,680,Vasco Da Gama / Afogados,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=680
700,grctm,700,Beberibe / Afogados,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=700
710,grctm,710,Beberibe / Derby (Joana Bezerra),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=710
711,grctm,711,Alto Do Pascoal,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=711
712,grctm,712,Alto Santa Terezinha,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=712
713,grctm,713,Bomba Do Hemetério,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=713
714,grctm,714,Alto José Bonifácio (Av. Norte),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=714
715,grctm,715,Alto Santa Terezinha (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=715
717,grctm,717,José Amarino Dos Reis,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=717
718,grctm,718,Córrego Do Euclides / Derby,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=718
721,grctm,721,Água Fria (Circular),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=721
722,grctm,722,Campina Do Barreto,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=722
723,grctm,723,Cajueiro,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=723
724,grctm,724,Chão De Estrelas,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=724
741,grctm,741,Dois Unidos,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=741
742,grctm,742,Linha Do Tiro,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=742
743,grctm,743,Alto José Bonifácio (J. Barros),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=743
744,grctm,744,Dois Unidos (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=744
745,grctm,745,Alto José Bonifácio (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=745
746,grctm,746,Alto Do Capitão,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=746
760,grctm,760,Dois Unidos / Derby,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=760
780,grctm,780,Alto Santa Terezinha / Derby,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=780
800,grctm,800,Dois Unidos / Afogados,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=800
810,grctm,810,Ti Xambá / Encruzilhada,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=810
820,grctm,820,Ti Xambá (Cabugá),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=820
821,grctm,821,Jardim Brasil I (Est. De Belém),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=821
